structure_id,n_cu,E (eV)
886,12,-464.285630
2066,12,-466.229758
3046,12,-466.243120
6119,12,-465.524899
5027,12,-466.879728
2030,12,-466.700936
5042,12,-466.699592
4124,12,-466.884069
6066,12,-466.697106
7500,12,-465.312089
54,12,-466.599746
1054,12,-463.351659
6026,12,-466.163840
7675,12,-465.895175
2034,12,-465.242613
7814,12,-463.746899
2496,12,-466.254035
7014,12,-465.724744
9038,12,-465.911500
8038,12,-465.809586
2130,12,-466.072714
2151,12,-465.465864
3023,12,-465.641458
1022,12,-465.546963
9042,12,-466.097376
2041,12,-466.045452
2061,12,-464.931638
3019,12,-466.117366
235,12,-463.813548
9034,12,-466.044379
